GVKEY	datadate	fyearq	fqtr	fyr	tic	cusip	actq	chq	intanq	ltq	cogsy	add1	conml	naics
012141	20130331	2013	3	6	MSFT	594918104	93524.0000	5240.0000	17922.0000	57417.0000	11875.0000	One Microsoft Way	Microsoft Corp	513210
012141	20130630	2013	4	6	MSFT	594918104	101466.0000	3804.0000	17738.0000	63487.0000	16494.0000	One Microsoft Way	Microsoft Corp	513210
012141	20130930	2014	1	6	MSFT	594918104	99450.0000	4023.0000	17649.0000	60707.0000	4191.0000	One Microsoft Way	Microsoft Corp	513210
012141	20131231	2014	2	6	MSFT	594918104	106870.0000	10059.0000	17625.0000	68443.0000	11252.0000	One Microsoft Way	Microsoft Corp	513210
012141	20140331	2014	3	6	MSFT	594918104	109006.0000	11572.0000	17652.0000	68695.0000	15975.0000	One Microsoft Way	Microsoft Corp	513210
012141	20140630	2014	4	6	MSFT	594918104	114246.0000	8669.0000	27108.0000	82600.0000	21866.0000	One Microsoft Way	Microsoft Corp	513210
012141	20140930	2015	1	6	MSFT	594918104	112439.0000	6302.0000	26774.0000	79486.0000	6845.0000	One Microsoft Way	Microsoft Corp	513210
012141	20141231	2015	2	6	MSFT	594918104	116362.0000	6426.0000	29154.0000	82969.0000	15460.0000	One Microsoft Way	Microsoft Corp	513210
012141	20150331	2015	3	6	MSFT	594918104	118398.0000	7414.0000	28691.0000	86551.0000	21106.0000	One Microsoft Way	Microsoft Corp	513210
012141	20150630	2015	4	6	MSFT	594918104	124712.0000	5595.0000	21774.0000	96140.0000	27081.0000	One Microsoft Way	Microsoft Corp	513210
012141	20150930	2016	1	6	MSFT	594918104	121656.0000	5431.0000	21887.0000	95451.0000	5746.0000	One Microsoft Way	Microsoft Corp	513210
012141	20151231	2016	2	6	MSFT	594918104	127812.0000	7185.0000	22055.0000	103318.0000	14074.0000	One Microsoft Way	Microsoft Corp	513210
012141	20160331	2016	3	6	MSFT	594918104	128421.0000	7170.0000	22407.0000	107063.0000	20089.0000	One Microsoft Way	Microsoft Corp	513210
012141	20160630	2016	4	6	MSFT	594918104	139660.0000	6510.0000	21605.0000	121697.0000	26158.0000	One Microsoft Way	Microsoft Corp	513210
012141	20160930	2017	1	6	MSFT	594918104	157909.0000	13928.0000	21429.0000	142152.0000	6028.0000	One Microsoft Way	Microsoft Corp	513210
012141	20161231	2017	2	6	MSFT	594918104	144949.0000	8468.0000	45525.0000	155801.0000	13763.0000	One Microsoft Way	Microsoft Corp	513210
012141	20170331	2017	3	6	MSFT	594918104	146313.0000	6713.0000	45215.0000	155288.0000	19370.0000	One Microsoft Way	Microsoft Corp	513210
012141	20170630	2017	4	6	MSFT	594918104	159851.0000	7663.0000	45228.0000	168692.0000	25483.0000	One Microsoft Way	Microsoft Corp	513210
012141	20170930	2018	1	6	MSFT	594918104	161031.0000	6884.0000	44987.0000	159450.0000	5779.0000	One Microsoft Way	Microsoft Corp	513210
012141	20171231	2018	2	6	MSFT	594918104	167633.0000	12859.0000	44389.0000	177643.0000	14307.0000	One Microsoft Way	Microsoft Corp	513210
012141	20180331	2018	3	6	MSFT	594918104	156659.0000	9221.0000	44126.0000	166258.0000	20866.0000	One Microsoft Way	Microsoft Corp	513210
012141	20180630	2018	4	6	MSFT	594918104	169662.0000	11946.0000	43736.0000	176130.0000	28092.0000	One Microsoft Way	Microsoft Corp	513210
012141	20180930	2019	1	6	MSFT	594918104	164195.0000	15137.0000	43434.0000	171652.0000	7068.0000	One Microsoft Way	Microsoft Corp	513210
012141	20181231	2019	2	6	MSFT	594918104	156874.0000	6638.0000	50059.0000	166731.0000	16496.0000	One Microsoft Way	Microsoft Corp	513210
012141	20190331	2019	3	6	MSFT	594918104	159887.0000	11212.0000	49964.0000	168417.0000	23740.0000	One Microsoft Way	Microsoft Corp	513210
